ID детали;51;52;53;54;55;56;57;58;59;60;61
3;1690;1690;1690;1690;1990;2190;2190;2290;2490;2690;1690
4;-1;-1;-1;3500;4500;4500;-1;-1;-1;-1;-1
5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
6;4 000;4 500;4 500;4 500;5 000;5 000;6 000;6 000;-1;-1;4500
7;2190;3490;3490;3490;4 490;5 990;8 590;10 990;16 990;19 990;3490
8;2190;3490;3490;3490;4 490;5 990;8 590;10 990;16 990;19 990;3490
9;3 000;3 500;3 500;3 500;4 500;5 000;-1;-1;-1;-1;-1
10;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
13;2190;3490;3490;3490;4 490;5 990;8 590;10 990;16 990;19 990;3490
14;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
15;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
16;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
17;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
18;100;100;100;100;100;100;100;1000;400;400;100
19;1390;1490;1490;1490;2190;2190;2890;3290;4090;4690;1490
20;1390;1490;1490;1490;2190;2190;2890;3290;-1;-1;1490
21;290;290;290;290;290;290;290;290;290;290;290
22;1390;1490;1490;1490;2190;2190;2890;3290;4090;4690;1490
23;1390;1490;1490;1490;2190;2190;2890;3290;-1;-1;1490
24;1390;1490;1490;1490;2190;2190;2890;3290;4090;4690;1490
25;1 390;1 490;1 490;1 490;2 190;2 690;2 890;3 290;4 090;4 690;1890
26;990;1 490;1 490;1 490;2 690;2 890;3 090;3 490;4 090;4 690;1990
27;990;1 490;1 490;1 490;2 690;2 890;3 090;3 490;4 090;4 690;1990
28;1 590;1 590;1 590;1 590;2 790;3 090;5 190;5 790;5 890;6 490;2590
29;2 500;3 000;3 500;3 000;4000;4000;-1;-1;-1;-1;-1
30;1 090;1 690;1 690;1 690;2 290;2 290;2 290;2 290;2 890;2 890;1690
1;3 500;4 000;4 500;4 500;5 500;5 500;6 000;-1;-1;-1;4500
31;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
32;1 390;1 490;1 490;1 490;2 190;2 190;2 890;3 290;4 090;4 690;1490
33;1 500;2 000;2 000;2 000;3500;3500;-1;-1;-1;-1;-1
34;1 500;2 000;2 000;2 000;3500;3500;-1;-1;-1;-1;-1
35;1 500;2 000;2 000;2 000;3500;3500;-1;-1;-1;-1;-1
36;1 500;2 000;2 000;2 000;3500;3500;-1;-1;-1;-1;-1
26;1 390;1 490;1 490;1 490;2 190;2 190;2 890;3 290;4 090;4 690;1490
2;3500;3500;4000;4000;4500;4500;-1;-1;-1;-1;-1
37;1 390;1 490;1 490;1 490;2 190;2 190;2 890;3 290;-1;-1;1490
;;;;;;;;;;;
